t,s,lateral,lateralV,speed,yawOffset,yawRate,lean,steer,slipFront,slipRear,grip,loadFracFront,longAccel,suspFront,suspRear,wheelie,airY,airVY,boost,slipstream,onRoad,airborne
2.778,48.02763708393823,0,0,23.93268712198339,0,0,0,0,0,0,1,0.13088535802694456,7.4536062803706535,0.10091898399110469,-0.10091898399110469,0.3766913877630487,0,0,0,0.037204465101278394,1,0
2.801,48.42805347424991,0,0,24.0557311516219,0,0,0,0,0,0,1,0.13146398676790277,7.440091166206844,0.10073887303259935,-0.10073887303259935,0.3746776231599664,0,0,0,0.03534052139970437,1,0
2.829,49.23502626278493,0,0,24.30114381031974,0,0,0,0,0,0,1,0.1326210886936346,7.41306457122725,0.10037807390349354,-0.10037807390349354,0.3705093263821967,0,0,0,0.03189817720595572,1,0
2.851,49.64157515684365,0,0,24.423512430834908,0,0,0,0,0,0,1,0.13319958742115107,7.399552493805973,0.10019749885971152,-0.10019749885971152,0.36836001242959393,0,0,0,0.030309647981099176,1,0
2.878,50.46077918242865,0,0,24.667574224741887,0,0,0,0,0,0,1,0.13435652473743515,7.372529743632766,0.09983618709310242,-0.09983618709310242,0.3639429946980655,0,0,0,0.027357336113307235,1,0
2.901,50.873426807587116,0,0,24.789267329950494,0,0,0,0,0,0,1,0.13493500071188796,7.359018197658045,0.0996554979089139,-0.0996554979089139,0.3616796563018865,0,0,0,0.025986733574030557,1,0
2.929,51.70479450994869,0,0,25.031977559500568,0,0,0,0,0,0,1,0.1360921485461059,7.331990530387384,0.09929412150429551,-0.09929412150429551,0.3570532831989984,0,0,0,0.023448087492244786,1,0
2.951,52.123507075016974,0,0,25.15299463354413,0,0,0,0,0,0,1,0.13667081737184184,7.318474479957695,0.09911344671104665,-0.09911344671104665,0.35469388707700245,0,0,0,0.022273338308883336,1,0
2.981,52.966970847397114,0,0,25.3943523749483,0,0,0,0,0,0,1,0.13782843951030976,7.291435734294908,0.09875213185189541,-0.09875213185189541,0.3498910080873867,0,0,0,0.020103803345439777,1,0
3.001,53.39171453709285,0,0,25.514692893812907,0,0,0,0,0,0,1,0.1384074297102918,7.277912177481042,0.09857148863445664,-0.09857148863445664,0.34745056786324074,0,0,0,0.019096602797833255,1,0
3.029,54.247206718138095,0,0,25.754696811251733,0,0,0,0,0,0,1,0.13956584953348322,7.250854800182214,0.09821021211194049,-0.09821021211194049,0.3424986207797358,0,0,0,0.01723649782037824,1,0
